userName,score,date,ulasan
Radist Kirana,4,2022-01-20 02:35:05,Sangat membantu
Dyah Sifra,4,2022-01-19 01:47:34,ada batas waktunya :(
Lana Whom,5,2022-01-18 12:16:21,"Aplikasinya sangat bagus, bisa buat mengelola stres dengan baik"
Hary Ismail,5,2022-01-18 03:01:16,Aplikasi yang sangat bermanfaat untuk lebih mengenali kesehatan mental diri sendiri.
tsabitah azzahra,5,2022-01-17 00:10:33,Bisa mengerti diri kita
Reni Chairani,5,2022-01-15 00:30:13,"Bagus, saya udah mulai nulis jurnal gitu, tapi ko selalu aplikasi mendadak keluar ya, log out otomatis"
Abidah,5,2022-01-12 08:18:56,"worth it banget aplikasi ini, jujur sangat bermanfaat untuk orang2 yang membutuhkan penyembuhan, ketenangan batin dan segala stes yg dirasakan yang mengganggu fikirannya. dan fasilitas disini bagus2 bgt, ada sesi meditasi sesuai kebutuhan, bisa konsultasi online, bisa bikin journey sesuai isi hati...dll aaa beruntung banget kenal aplikasi riliv 🥰❤✨ thanksss rilivvv"
KING_RAY,5,2022-01-11 13:19:15,Makasih riliv semoga ini membantu menenangkan pikiran ku walau aku masih kecil baru 12 tahun tapi deprsi dan frustasi selalu menghantui ku semoga ini membantu ku
rezaldin reza,5,2022-01-11 07:08:43,Pengalaman yang sangat baik
dhillah,5,2022-01-10 11:31:07,aplikasi ini sangat membantu
Jajang Mirjaaa,5,2022-01-10 07:39:12,Mantep pokonyaaaaa
Aba Atem,5,2022-01-09 15:10:08,Keren parah
Della Eka Putri Mintardi,5,2022-01-07 06:04:35,Akan saya coba terlebih dahulu. Tapi saya yakin ini aplikasi bagus
Somat Sumantri,5,2022-01-06 16:12:56,bagus sih . . tpi trnyta mahal mau konseling . .
maria febri ayu,5,2022-01-06 06:49:18,"Ingin mencoba dulu, semoga saya bisa menjadi lebih baik"
Zunus Auri,5,2022-01-05 04:04:53,Aplikasi keren. Udah gitu aja 🤗
Mila Tifah,5,2022-01-04 23:26:27,Keren
irene senly,5,2022-01-04 16:38:36,Aplikasi yang sangat membantu! Membuat tidurku lebih nyenyak dan kestabilan emosiku sedikit sedikit lebih baik Terimakasih riliv!
Hasna Ibrahim,5,2022-01-04 05:15:50,Powerfull untuk kepribadian intj
Oji Purnomo,5,2022-01-02 14:50:13,Aplikasi nya mantap cocok untuk healing teman teman👍👍👍
Puryanti -,3,2022-01-02 08:43:16,"Tolong bs pilih psikolog nya lah. Ada masalah ttg dunia kerja, yg bales psikolog pendidikan. Kan g nyambung. harusnya kan yg psikolog industri organisasi / klinis lah"
Nur Hikmah,5,2022-01-02 08:41:34,"Aplikasinya bagus, banget."
Mahendra Lutfi,5,2022-01-02 03:05:09,Aplikasi meditasi terbaik dari sekian banyak aplikasi yang sudah saya coba. Terus kembangkan. Terima kasih.
Nelpa Nel,5,2021-12-31 15:12:09,Menyenangkan
Channel Hartini,5,2021-12-31 04:25:42,Sangat cocok untuk saya
Fevril Anam,5,2021-12-29 06:43:50,"Yah aplikasi ini sangat bagus ya,membantu kita untuk memahami diri kita lebih baik dan menjadikan kita lebih bersyukur dalam menikmati hidup"
Noneng Suniarsih,5,2021-12-29 01:27:22,Lumayan
Rahaina Bilqis,5,2021-12-28 13:54:39,Riliv is my friend
Zein Najwa Chairunnissa,5,2021-12-27 12:18:43,Keren banget sukaaa♡(> ਊ <)♡
mitra ganesa,5,2021-12-27 12:09:22,Sangat membantu menjaga mental yang lebih kuat
Hariz Izzuddin,1,2021-12-27 10:07:52,Kenapa ulasan saya di hapus barusan?
Fikry MaulanaJ,5,2021-12-26 20:24:34,Terima kasih
Naysila Suswandari,5,2021-12-26 10:02:08,"Terima kasih, untuk Riliv! Insya Allah, secara perlahan luka batinku akan sembuh dengan Riliv."
JURNAL SEHAT,2,2021-12-26 06:33:34,"Ini aplikasi bagus, tapi saya kecewa dengan sesi konselingnya, late reply, late respon dan perubahan jadwal yg ditentukan oleh konselor tidak terpenuhi, padahal saya sudah transfer untuk pembayaran konseling di aplikasinya. Apakah karna saya hanya pakai konselor biasa dan bukan yang profesional bgitu ya? Terus terang saya kecewa. Semoga kedepannya bisa lebih baik lagi."
Filiana Daeli,5,2021-12-26 05:31:11,Sangat baik
Aissa Biruu,5,2021-12-25 13:56:14,Bagus
Allin Sh,5,2021-12-25 05:38:18,sangat bagus
Ernawati Ismail,4,2021-12-24 14:53:29,Saya senang semoga apliaksi ini jadi perantara agar mental saya kembali sehat.
Indah Lestari,5,2021-12-24 11:45:16,Semoga bermanfaat untuk semua orang yang sedang kesusahan mencari jalan keluar...
Wildan Roynie,5,2021-12-23 17:55:37,Bagus
Nadya Shafwah Yusuf,5,2021-12-23 00:46:10,Riliv membantuku mengenali diriku lebih dalam dan segala sumber masalahku. Meditasi dan jurnalnya membantuku sedikit demi sedikit untuk menenangkan pikiranku dan fokus pada tugas-tugasku
yunii athyyy,5,2021-12-22 16:09:01,Sangat membantu dalam mengatasi stress dan para konselor sangat ramah
Azwar Anas,5,2021-12-22 03:13:25,Keren riliv membantu pengembangan diri
Saepul Aziz,5,2021-12-20 11:04:52,Terimakasih
Liza Sukma,5,2021-12-20 07:20:21,Membantu banget semoga engga bayar baru nyoba tapi udah nyaman
Arima Filan,5,2021-12-19 08:14:46,"Baru dua hari pakai. Kalo lagi sedih , cemas, kecewa, marah lari kesini dengerin meditasi atau sekedar cerita dan isi jurnal singkat. Temen temen bisa pake kode referall aku ""geaisI"" supaya bisa nikmatin lebih banyak fitur. Sehat sehat yaa semuaaa 💕"
Rais Salfa,5,2021-12-17 09:33:16,Thanks untuk aplikasi ini 💕
Seni seni Seni seni,5,2021-12-16 11:31:54,Membantu
Oktaviona,2,2021-12-14 17:20:36,"Proses login gagal, tolong benerin secepatnya"
Iqbal Qudratun,5,2021-12-14 15:33:53,"Suara yg cowok aneh, g bikin nyaman meditasi"
Vey Naresa,5,2021-12-14 13:06:21,Aplikasi nya bagus buat healing
Rieska Rahayu Ayuningsih,5,2021-12-14 10:38:17,Kereeennnn sangat menyenangkan sekali
Choir Siti,5,2021-12-14 09:22:30,Sgt membantu.. Trima kasih
Aeman Unaisah,5,2021-12-14 04:29:32,Kenapa ya? kok dari tadi siang aplikasi riliv tidak bisa dibuka? di update juga gagal terus? padahal jaringan sinyal aman.
Herdi Yudirachman,5,2021-12-14 01:36:39,Sangat membantu
Ikram Pro Fit,1,2021-12-13 22:47:33,Setelah diupdate aplikasinya jadi susah dibuka kenapa ya?
Lukman Hakim,5,2021-12-13 22:08:32,Terimakasih
Akmal Hanan,1,2021-12-12 21:51:08,Payah keluar masuk mulu aplikasinya
Irvan Alditiyan,5,2021-12-12 15:13:25,Bagus sekali
Ririn Agustina,1,2021-12-12 12:56:35,"Aplikasi tidak dapat di buka, mohon tidak lanjutnya"
Hala Indirana Ananda,4,2021-12-12 09:02:15,"Baru pertama kali download, semoga bisa membantu"
Melan Meliana,5,2021-12-11 13:39:43,"Saya masih kurang paham, apakah setelah mendownload aplikasi riliv ini sudah otomatis terdaftar sebagai pengguna prabayar atau tidak?"
Dedah Hartati,5,2021-12-11 10:39:14,Suka
anggi anggii,1,2021-12-10 14:59:38,"Riliv nya gk bisa dibuka, mana udah bayar"
Ashimah Nur Rahmah,1,2021-12-10 13:34:24,Kenapa nggak bisa masuk ya?
Nadia Fauza,2,2021-12-10 11:19:51,Aplikasinya agak lamban
Marco Gumelar,5,2021-12-09 16:56:11,Baru dlwd
Adin,5,2021-12-09 16:06:25,"Bisa banget buat ngontrol emosi kita, dan mengetahui lebih dalam diri sendiri"
dennisa egidia,5,2021-12-09 02:28:32,"Suka bgt kata2 nya yg supportive dan memotivasi dalam meditasi, serasa punya support system beneran 🥺"
Silvia Nasir,5,2021-12-08 16:39:46,"sangat bagus , membantu saya mengetahui mood saya"
Sherli Caroline,5,2021-12-08 12:04:35,Bagus banget aplikasinya
Pati Kota,4,2021-12-07 14:16:52,Yuk pake kode hEBcp8 kita sehat bersama
Nenek 33,5,2021-12-05 23:04:45,Sangat membantu dalam mengelola emosi. Menenangkan bagaikan teman.
faiz ihsan,5,2021-12-05 10:50:32,Fitur journal nya sangat bermanfaat...
Hana Daniela Hernando Falces,1,2021-12-03 10:40:06,Saya gabisa daftar riliv kenapa ya? Kota nya ga ada
Rana Aprilia,5,2021-12-02 15:59:47,"Saya pribadi sangat menyukai aplikasi ini ketika rasanya malas jurnaling di buku dengan mudah saya bisa mengakses di aplikasi riliv di hp saya dimanapun dan kapanpun di tambah dengan fitur2 yg mengarahkan saya untuk menulis apa saja yg berkaitan dengan yg saya rasakan, juga meditasi saya merasa lbih tenang dan damai ketika meditasi di temani hening dari riliv pikiran saya tidak lari2 kemana mana ketika meditasi di riliv beda ketika saya melakukannya sendiri, overthinking, dan insomnia hilang!!!"
indy nadira,5,2021-12-01 11:18:03,Sangat bagus ♪
Anisa Rahmawati,5,2021-11-30 00:36:01,Aplikasi yang baik dan memberikan banyak manfaat
Mega Agustina,3,2021-11-29 19:17:14,ini bayar ga ya?
Frika Oktaviana,4,2021-11-29 17:26:16,Lumayan membantu
Jetter Boimau,3,2021-11-29 07:23:45,Mantul
Maya Setyobudi,5,2021-11-27 01:14:18,good aplikasi
Nayla martiana R,5,2021-11-26 10:57:03,❤️❤️❤️
Ratih Permitaningrum,5,2021-11-26 10:53:12,"sejak kenal dan berlatih meditasi di Riliv sangat membantuku untuk sedikit demi sedikit merelakan apa yg sudah terjadi,, semoga suatu hari nanti aku bisa benar2 mengikhlaskan semua kejadiam buruk di masa lalu & menghilangkan segala pikiran buruk yg sering ada di kepalaku.. Terima kasih Riliv"
Karolina Silvia,5,2021-11-26 04:25:25,Nyaman bercerita.
Zulhanizah Dias,5,2021-11-25 14:48:16,"Damai banget perasaan sehabis dengerin riliv, yuk pakai code 0bRRES biar bisa akses semua fitur yang ada secara gratis sama-sama :)"
Bubble Night,5,2021-11-25 12:28:18,"Apk nya bagus banget banget banget 😭💘💘, makasih banyak❤️❤️"
Khairunnisa,5,2021-11-25 12:15:56,"Aplikasinya bagus sekali, bener2 ngebantu menguraikan kerumitan yang ada di kepala, tapi mungkin bisa ditingkatkan lagi agar loading di apps nya bisa cepat seperti aplikasi lain, karena di HP saya butuh 3-5 detik untuk menunggu loading ntah itu gambar atau transisi pertanyaan di jurnal, walau begitu masih bagus kok, semangatt dan terimakasih"
Ahsnaidra,5,2021-11-25 09:43:06,Bagus
Taliza Alifa Akbar,5,2021-11-25 04:05:03,Terima kasih
riena harda,5,2021-11-24 05:43:58,Bagus banget kalo lagi sedih
Ayu Sapitri Nainggolan,5,2021-11-24 00:13:28,"Cocok utk org2 yg overthinking,depresi,dll Bagus utk kesehatan mental,meredam amarah,mnjalani hidup lbh tenang"
Tari,5,2021-11-23 18:05:42,"Membantu self healing, paket komplit"
azka fahreza,5,2021-11-23 06:16:52,Bagus banget
Remi Keren,5,2021-11-23 01:58:19,Sangat keren
luluk nur farida,5,2021-11-22 21:55:02,Baru mencoba. Dan saya sangat suka. Banyak pembelajaran lain yang perlu saya ikuti agar lebih sehat secara mental
Erna Waty,5,2021-11-21 14:53:33,Bagus aku suka
Farid Achmad Fikri,5,2021-11-21 14:17:54,Luar biasa sekali! Saya suka mengikuti serangkaian meditasi untuk menumbuhkan rasa percaya diri
Adriansyah Adri,5,2021-11-20 14:03:17,Aplikasi ini sangat membantu dalam manajemen diri. Fiturnya sudah cukup lengkap dan sangat bermanfaat.
Rafi'ah Rahmaini,5,2021-11-20 01:58:48,"Sedikiit terbantu dng adanya riliv, thank u udah membuat apk yg membuat aku bisa memahami diriku sendiri"
EVI AFIANTI,5,2021-11-18 12:01:18,Thank you
Mislapin Teten,5,2021-11-18 06:38:04,aplikasinya sangat sangat bagus dan membantu
adinda Salsabila,4,2021-11-18 05:09:14,😊❤
Happy Rahma Savitri,5,2021-11-18 01:20:22,Makes me much better
Aditya Alfarisi,5,2021-11-17 12:02:24,Sangat membantu untuk sy yg tidak punya tempat bercerita
Endang Ayu Puji A,5,2021-11-17 00:31:31,"Karena saya baru mendownload dan juga melihat fitur dari riliv, saya berpendapat bahwa ini akan cukup membantu saya dikesehatan mental saya dan managemen diri dengan baik melalui fitur journal ,journey"
Kaslina Lina,5,2021-11-16 10:50:29,Sangat membantu 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Bulan Puspita,4,2021-11-16 03:42:26,"Sangat membantu, semoga tambah sukses ya kak kedepannya. Semangat tim Riliv♡"
Serita Juniari,5,2021-11-16 00:41:45,Sangat suka... terima kasih riliv
Ni Made Ardanereswari,2,2021-11-15 20:32:45,Awalnya lancar dan baik2 saja. Tapi saya sempat uninstall dan menginstall ulang. Dan skrg tdk bisa login. Mau daftar ulang dgn email barupun tdk bsa
Emilia Kusumawardhani,5,2021-11-15 05:50:47,Thanksfull.. semua jurnal dan journaynya sangat membantu..💗🤓
Riske Putri Apriyanti,5,2021-11-14 16:55:46,good
Wikanthi Wardani,5,2021-11-14 10:37:14,Bagus untuk rileksasi setelah bekerja seharian
Just Darul,5,2021-11-14 04:21:33,"Cocok bagi seseorang yang memerlukan panduan dalam menghadapi stress, overthinking dll."
Dara Nur amelia,5,2021-11-14 03:40:36,Terimakasih ka karna apk ini saya bisa lebih tenang pikirannya
Jizah Antika,5,2021-11-13 14:52:36,"Aplikasi yg baguss, membantu ku lebih rilek dan mulai untuk berani Konseling"
Rizky Gacor,1,2021-11-12 20:16:02,Tak bisa daftar...apa aplikasi ini tak aktif LG?
Astri astri,5,2021-11-12 12:41:59,"Sangat membanti, alhamdulilah"
DOA4_Lutfi_SEO Specialist_TulisIN,5,2021-11-12 11:02:42,Top
ivana nefa,3,2021-11-12 08:15:41,Baru coba belum tahu berhasil
Eva Lasia,5,2021-11-11 12:28:04,Alhamdulillah snang bikin tnang
Maya Hasibuan,5,2021-11-11 01:02:27,"Sangat membantu saya, karena mudah untuk bercerita selain di hakimin dari orang-orang sekitar"
Sofia Kartika,3,2021-11-10 23:52:21,Ini kenapa loadingnya lama bgt pas dibuka
Nia Oktaviana,5,2021-11-10 13:43:50,Sangat membantu dan bermanfaat
Fadly Azzuchruf,3,2021-11-07 22:31:13,Loading nya lama kadang suka eror
dedi Yusuf,5,2021-11-06 02:56:34,"Tampilan aplikasinya simpel dan mudah dipahami, fiturnya sangat lengkap,sesi meditasi dan cerita sebelum tidur nya sangat menenangkan,sesi konselingnya juga sangat sangat terjangkau harganya dan dapat membantu.Keren"
Deni Bangka,5,2021-11-05 03:34:19,"Meditasi nya ditambah terus dong, soalnya itu itu saja yg diputar"
Wa Ode Zahra Auliya,4,2021-11-02 16:13:55,"Selama ini pake aplikasi nya lancar, tapi tiba-tiba kok nggak bisa di akses yah selalu error tiap mau login? Padahal aplikasinya bagus dan membantu."
Jonathan,5,2021-11-02 08:04:03,"Makasih buat riliv,gegara nih apk gw bisa ngurangin kecemasan dan jadi lebih tenang🙏😭😭"
Wiwik Sriwilujeng,5,2021-11-02 00:05:33,bagus aplikasinya bisa sedikit menenangkan rasa cemas
kim kimmy,5,2021-11-01 03:06:55,"Bagus banget, seminggu ini aku agak lebih tenang dan ga overthinking, saran untuk kegiatan event kayak webinar gitu jadwal nya bisa dilihat juga di aplikasi jadi temen temen yang pengen nambah ilmu and diskusi bisa ikut di opsi kegiatan min hehehe, semoga semakin sukses dan makin keren aplikasinya"
Ilham Prabowo,3,2021-10-31 07:02:04,Mungkin responsivenya bisa diperbaikin lagi.
Apriliani Randongkir,4,2021-10-31 06:49:27,Makasih ya 😌 Perlahan mental ku membaik
Yani Cahyani,5,2021-10-29 06:38:06,"Love u riliv,I'm so excited now"
Pipit Aryani,5,2021-10-29 01:47:43,Alhamdulillah apk ini sangat membantu😌
Umniyah Putri Mujahidah,5,2021-10-25 06:34:15,"Bagus, membantu banget"
You and I,5,2021-10-22 14:26:39,"bagus apk nya,terimakasihh"
Natasha,4,2021-10-22 09:54:53,"Aplikasinya jadi semakin bagus dari pertama kali aku pakai cm untuk latihan meditasi. Fiturnya nambah banyak bgt dan jd lebih mudah digunakan sesuai kebutuhan. Mungkin ada saran sedikit ttg penambahan privacy code kaliya saat masuk aplikasi, apalagi skrg ada fitur2 jurnal yg sifatnya personal/private banget. Keep up the good work riliv team!"
Anharu Wikotama,5,2021-10-22 08:55:33,Mantap sangat membantu
Kopi Nikmat,4,2021-10-21 16:49:15,Mdh2 bs membantu
Lutfita Ainur Wirasti,4,2021-10-16 15:02:10,"cukup membantu saya, tapi sayangnya dibagian jurney itu gamau muncul padahal mau coba. semoga kedepannya bis lebih lancar lagi ya😊"
CHANEL KAMEK URANG [SIPRUS],5,2021-10-16 14:38:39,"Sangat membantu saya dlaam mengatasi beban karna saya yg baru di tinggalin sama pacar saya kata nya ""kita sahaban aja"" mengesedih'("
alfita amalia mutafida,2,2021-10-16 10:28:10,mau isi tour nya kok gak bisa ya
Rizal Eka,1,2021-10-14 00:57:35,Nggak ada yang gratis ya setiap di layanannya
Nadia Aima habiba,5,2021-10-12 07:20:32,Terimakasih
Rahma Rasyid,5,2021-10-11 14:45:29,"Terima kasih, aplikasi ini sangat membantu saya mengurangi rasa cemas berlebihan dalam hidup"
aldo anggara,1,2021-10-11 13:07:07,gk bisa melalui ovo
30_Sadzyana Arvin Maulida_ XI-9,5,2021-10-10 05:17:50,"Ya,sangat bermanfaat,saya suka"
Muhammad Rafi,5,2021-10-08 12:56:41,keren👍
riri fitri,5,2021-10-06 11:24:43,"Bagus klo lg bad mood stress dn perlu t ahli, lumayan lha buat relax"
Findiko Ragil,4,2021-10-06 10:12:26,Susah tidur
Adi Bimantara,1,2021-10-05 17:36:53,Bad app.. aplikasi rusak kalo mau dinilai bagus dibenerin
Laras Dwi Oktaviana,1,2021-10-05 17:12:26,"baru download, lah disuruh pilih negara, negara kaga ada yg bisa dipilih. mau download ini biar ga stress eh dari awal uda dibikin stress"
Ojol Ktp,5,2021-10-05 11:08:36,Bagus
A61_Adinda O Silvi,5,2021-10-04 12:23:54,Aplikasi bagus
Tasya Efrata,5,2021-10-02 17:10:14,"Lengkap banget fitur-fiturnya. Cocok buat menjaga kesehatan mental kita. Agar lebih optimal pakai versi premium sih, harganya pun juga terjangkau banget. Terimakasih yang udah ciptain app ini"
Mindar Wati,5,2021-10-02 11:29:03,"Aplikasinya bagus banget,hati ku jadi lebih tenang"
keeya,4,2021-10-02 02:26:49,MANTAP
Alicia Maharani Putri,5,2021-10-01 23:08:48,"suka bgt, dipake meditasi tidur langsung pules😭💓"
Rara A,1,2021-09-30 15:42:19,"Buruk. Barusan aku isi jurnal, udah niat nulisnya udah selesai sampe page 11/2. Selama nulis dan tap next pagenya lemot. Pas udah selesai, tiba-tiba lemot lagi. Akhirnya nggak kesimpen. Seharian ini udah mood ancur, tambah ini nulis jurnal sebelum tidur gagal, jadi makin berantakan 😭😭😭"
Team RarRE's,2,2021-09-30 13:15:48,"Apaan ini, konseling pertama bagus tanggapannya, konseling kedua kacau parah, janji jam brapa nunggu jam berapa, meski cma online tp kan bkn brrti kita gk byar, tnggung jwb dong"
Daylon Nevan,1,2021-09-28 14:00:29,"Parah nih gara2 ini aplikasi jadi masang alarm mulu tiap hari, padhal udh dihapus aplikasi nya to tetep aja alarm nya gak bisa dihapus dan itu setiap malam krn dulu set alarm nua jam 9 malem. Coba ke kalender tetep gk bisa, harus dihapus satu2 tiap hari. Nyesel asli pasang aplikasi ini. Meskipun ya emang lumayan bagus app nya, buat kalian yg mau coba jgn2 coba2 set alarm buat meditasi. Krn itu bener2 setting nya tiap hari entah sampai kapan."
Annisa Swasti Lana,5,2021-09-28 02:26:34,"Aplikasi ini bagus banget, membantu orang-orang yang butuh dampingan psikologis."
Saskia Putri shafira,5,2021-09-26 09:46:22,Aplikasi nya bagus banget membantu kita yg mengalami kesehatan mental yg kurang baik dan ini hari pertama saya memakai nya sudah merasa nyaman dan tidak susah di pakai alpikasi nya bagu💗🙆🏻‍♀️ Makasihh
yullia222 yullia,5,2021-09-24 15:27:52,"Sangat sangat membantu dalam hal apa pun,meskipun sejenak tapi saya sangat merasakan hasilnya"
puspita nurhayati,5,2021-09-24 09:59:10,Aku terbantu bgt karena bs menceritakan semua masalahku tanpa khawatir
Wahyu Ikhwanul Rusydi,5,2021-09-22 17:02:36,Menenangkan
DaBlondeMilly,5,2021-09-21 05:09:46,Cukup membantu.kode refferal aku YCWXha
Akmal Pauwas,1,2021-09-21 04:28:38,Baru mulai udah menanyain hal yang sensitif:(
Amelia Pramudita,5,2021-09-21 02:22:01,Baguuuus bngt makasih sudah rilis apk ini. membantu bngt
ellyjaya truly,4,2021-09-20 16:07:10,"Hai, sebelumnya saya sampai tahap meditasi dasar 2, hari ke 7. Tiba2 hari ke 8 playnya mulai lgi hari 1 dan tidak bisa lanjut stuck d hari pertama terus sampai sekrang. Knapa ya? Minta solusi kmana?"
puji hariyani,1,2021-09-20 01:17:00,Saya sudah mengiluti program VAKSIN COVIT 19 DI Jakarta Pada tgl 2 Juli sampai AGUSTUS tgl 30 20021
Aulia Taureza,5,2021-09-17 16:28:34,"sangat membantu dalam self healing dari stress, kerjaan, masalah, dll. mudah di akses karena kerjasama dgn univ, tapi worthed it bgt klo langganan pribadi. thanks riliv"
Adi Setiadi,5,2021-09-17 10:23:27,aplikasi ini sangat membantu di masa-masa terendahku
Adithya Parawangsa,5,2021-09-17 10:03:23,"Kalo lagi penat ya ini jawabannya, tapi inget kalo meditasi harus tenang dan sabar"
Aidya Aulia,3,2021-09-16 13:43:08,Bayar:)
Esanza Cha,3,2021-09-15 11:30:04,Sangat membantu saya sangat suka
Agnes,5,2021-09-15 02:19:04,sangat membantu...
Asih,2,2021-09-15 01:16:17,Masih belum diperbaiki ya? Aku ga bisa buka journey 😫
Suci Humayroh,5,2021-09-14 23:31:36,"Bagus udah pake dari lama, semoga bisa sembuh."
Wahid Amar,5,2021-09-14 18:42:19,"Mantap, saya jadi lebih baik gara-gara ini"
Chandra Martta,5,2021-09-14 10:09:24,Kerennn
fani,5,2021-09-13 17:23:39,"suka banget sama aplikasi ini, ini ngebuat aku jadi tenang kalo habis depresi, stress, kena bullying atau play victim. makasih banget sama riliv♡"
Najwa Habibah Barus,4,2021-09-09 06:34:58,"Halo developer, saran aja ada option pembayaran melalui pulsa. Karena untuk bolak balik ke a*lfa lumayan jauh, terima kasih."
Galih “Oney” Abdulloh,3,2021-09-08 05:06:30,Coba
Rika Sundari,5,2021-09-08 00:54:20,Bagus banget sangat membantu
rahma new yearika,2,2021-09-07 16:16:49,log in nya bikin emosi😭✊🏻
Kiki Pratama,2,2021-09-07 15:59:28,Ini kenapa ya ko memuat terus mau masuk apk nya
Sari Mardian,5,2021-09-05 23:57:56,Tidak paham
Tia Ruwaida Nur,5,2021-09-05 16:09:54,"keren pokoknya mah, bisa buat diri jadi tenang, dan gak ngerasa sendiri, terbaik lah pokoknya mah."
ANGEL TIBA,5,2021-09-04 02:16:28,"Bagus banget aplikasi nya, gara gara aplikasi ini saya bisa mengkontrol emosi saya, terimahkasih yang sdh membuat aplikasi ini semoga sehat selalu amin🙏🥰"
Melisa Rosalina,5,2021-09-04 00:54:32,"Terima kasih atas kenyamanan dari aplikasi ini, sejauh ini sangat membantu saya dalam mengelola emosi saya."
ika safitri,3,2021-09-03 09:43:46,permisi kak mau tanya apa ini berbayar atau tidak ya kak?
najem,5,2021-09-03 09:14:43,"Aplikasi ini sangat membantu saya, terimakasih banyak✨"
Mufie_D,5,2021-09-02 03:36:20,Seminggibersma riliv alhamdulillah sudah mulai bisa meditasi
kurnia saputri,5,2021-09-01 03:00:10,"Sangan membantu,,"
Alsya arefa bintang,5,2021-08-31 20:24:56,Gatau mau bilang apa😅
Ahmad Zulfa Faridi,5,2021-08-30 15:23:00,Keren
hanief fath,5,2021-08-30 01:08:34,Berguna sekali
Antoni Novrenk,5,2021-08-27 15:19:13,Terima kasih riliv saya merasa terbantu oleh aplikasi ini
humayra m.,5,2021-08-27 04:31:01,☁️🌸
Nur Cahyani Wulandari,5,2021-08-25 22:44:13,Terbaik sih parah. Tidur w jadi berkualitas
Riska Candra,5,2021-08-25 15:29:31,sedang di coba 2x tpi langsung ku kasih bintang banyak
Sandra D P,2,2021-08-25 01:11:55,"Apllikasinya bagus tp lemot parah, pdhl sinyal penuh. Yg ada jd marah2"
Cipta Kamasyifa,5,2021-08-24 09:15:43,Sungguh sangat membantu mental saya
A 2k22,1,2021-08-21 00:43:30,Lelet apknya
Sarah Febriyani,5,2021-08-20 23:05:00,"Bagus banget aku sering mendengarkan meditasi dan itu membuat tenang dan menyadari pikiran kita, menyadari apa yang kita rasakan dan tidak untuk mengahakimi pada kita rasa sakitnya."
Putri Tiana,5,2021-08-20 14:25:47,"I Love riliv.. Beneran ngefek. Meditasi hampir tiap hari, d tiap ada masalah, pas dpt serangan sedih yg harusnya udh bkn depresi, jadi malah biasa aja.. Lebih tenang dan ngak gegabah. Mksih riliv"
yulia ningsih,5,2021-08-20 09:14:23,Aplikasinya keren aku udah rekomendasiin ketemen yang butuh
Anggi Putri,5,2021-08-20 05:50:53,Bagus banget sekarang sy jauh lebih tenang dan percaya diri
Nadia,4,2021-08-20 01:13:59,"Bukannya apa yaa tapi setelah sya baca baca komentarnya, adminnya ramah banget 😚☺️sya kasih 4 bintang yaa admin cantik/ganteng ☺️"
Nazwa Isyana,5,2021-08-19 06:43:25,Akhirnya bisa berbagi beban wkwkwk
putri,3,2021-08-18 17:46:09,gw kira gratis
Senang Senang,5,2021-08-18 13:51:17,Luar biasa
kayzoo,5,2021-08-18 01:44:28,"terimakasih, gila saya berkurang kak🤭👍🏻👍🏻"
Reinhard Haluruk,5,2021-08-16 16:56:00,Sangat membantu
24i_105_ Muthia,5,2021-08-16 13:17:02,keren..
Aprillina dwi,5,2021-08-15 16:19:26,This is good
Evita Nasution,5,2021-08-13 11:52:15,❤️
anelka rahmadhani,5,2021-08-11 07:47:03,"Thanks banget buat development karna udh bikin apps ini. Ketika lg stress, frustasi, n emosi, apps ini membantu banget buat melepas hal-hal itu semua dr pikiran kmu.. rekomen buat kamu yg overthingking..✨✨"
Monyet Ilang,5,2021-08-10 18:40:47,Makasih min ❤️😭 udah jadi tempat curhat ku soalnya aku gk punya tempat curhat lagi
Asri N A,5,2021-08-09 22:32:36,"Bagus bangettt aplikasinyaaa sukaa sangat membantu buat meditasi dirumah, dan meditasi nya juga bermacam2 jadi bisa di sesuaikan dengan kebutuhan kita .. makasih pengembang udah buat aplikasi ini"
AL muzammil Kilibia,2,2021-08-09 04:18:22,Bagusan
NyOmNyOm,5,2021-08-07 07:55:02,kalau daftar gak pake no hp bisa? soalnya no hp pribadi juga
Harii Fly,5,2021-08-02 15:44:01,"Terimakasih riliv saya merasa sangat terbantu dalam meregulasi emosi saya lebih baik lagii.. ini adalah aplikasi kesehatan mental terbaik yang pernah saya ketahui, tapi setelah diupdate kok ngga ada fitur pencarian di laman artikel lagii?mohon di adakan lagii agar bisa lebih memudahkan mencari topik/artikel yang sedang saya butuhkan 🙏 thks, keep grow up"
Hadisya Mairany,5,2021-08-02 10:42:08,Sangat berguna
Rahmanisa salsabila p.,5,2021-08-01 07:29:20,"bagus, menarik dan bisa membuat lebih rileks"
